,count,freq
cobra,1,0.00026939655172413793
brahma,308,0.08297413793103449
viññanam,10,0.0026939655172413795
boxes,1,0.00026939655172413793
fruit,362,0.09752155172413793
yathaodhi,1,0.00026939655172413793
straitened,1,0.00026939655172413793
finish,11,0.002963362068965517
utilize,1,0.00026939655172413793
space,271,0.07300646551724138
griefstricken,1,0.00026939655172413793
dukkaram,2,0.0005387931034482759
invasive,1,0.00026939655172413793
serenity,55,0.014816810344827586
draw,35,0.009428879310344827
holds,79,0.021282327586206896
passasanto,1,0.00026939655172413793
gabled,22,0.005926724137931034
cravingverbalizations,11,0.002963362068965517
shavenheaded,10,0.0026939655172413795
classifiable,5,0.0013469827586206897
companions,91,0.02451508620689655
owes,3,0.0008081896551724138
unwelcome,10,0.0026939655172413795
sloping,9,0.0024245689655172415
agacchantanam,1,0.00026939655172413793
santika,1,0.00026939655172413793
conjunction,18,0.004849137931034483
inside,20,0.005387931034482759
socalled,3,0.0008081896551724138
timeish,1,0.00026939655172413793
dhammaconduct,4,0.0010775862068965517
shifting,8,0.0021551724137931034
setabya,2,0.0005387931034482759
misconceiving,2,0.0005387931034482759
discernibility,1,0.00026939655172413793
problems,6,0.0016163793103448276
vine,5,0.0013469827586206897
integrating,2,0.0005387931034482759
synovium,1,0.00026939655172413793
selfgoverned,1,0.00026939655172413793
smelly,2,0.0005387931034482759
mouthaperture,1,0.00026939655172413793
payments,2,0.0005387931034482759
hates,2,0.0005387931034482759
broil,3,0.0008081896551724138
razoredged,3,0.0008081896551724138
gonda,1,0.00026939655172413793
jeering,3,0.0008081896551724138
cheered,1,0.00026939655172413793
nonstaple,33,0.008890086206896552
repute,1,0.00026939655172413793
middlesized,4,0.0010775862068965517
dhammafollowers,2,0.0005387931034482759
seasons,14,0.003771551724137931
loudly,2,0.0005387931034482759
viveka,2,0.0005387931034482759
attho,6,0.0016163793103448276
witnessed,2,0.0005387931034482759
unknown,18,0.004849137931034483
misapprehend,8,0.0021551724137931034
reasons,28,0.007543103448275862
viparinamalakkhana,1,0.00026939655172413793
listed,14,0.003771551724137931
universality,1,0.00026939655172413793
variously,2,0.0005387931034482759
pahinatta,1,0.00026939655172413793
social,22,0.005926724137931034
kahaapanas,1,0.00026939655172413793
perceived,11,0.002963362068965517
carriages,1,0.00026939655172413793
surrendering,1,0.00026939655172413793
ajañña,1,0.00026939655172413793
pronounced,2,0.0005387931034482759
dhamma,2359,0.6355064655172413
